2016-11-08 9:38:53 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 187
2016-11-08 9:38:53 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 187
2016-11-08 9:38:53 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 187
2016-11-08 9:38:53 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 187
2016-11-08 9:38:53 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 187
2016-11-08 9:38:53 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 187
2016-11-08 9:38:53 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 187
2016-11-08 9:38:53 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 187
2016-11-08 9:38:53 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 187
2016-11-08 9:38:53 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 187
2016-11-08 9:38:53 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 187
2016-11-08 9:38:53 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 187
2016-11-08 9:38:53 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 187
2016-11-08 9:38:53 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 187
2016-11-08 9:38:53 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 187
2016-11-08 9:38:53 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 187
2016-11-08 9:38:53 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 187
2016-11-08 9:38:53 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 187
2016-11-08 9:38:53 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 187
2016-11-08 9:38:53 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 197
2016-11-08 9:38:53 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 199
2016-11-08 9:38:53 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 201
2016-11-08 9:38:53 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 202
2016-11-08 9:38:53 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 203
2016-11-08 9:38:53 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 204
2016-11-08 9:38:53 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 206
2016-11-08 9:38:53 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 207
2016-11-08 9:38:53 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 212
2016-11-08 9:38:53 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 220
2016-11-08 9:38:53 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 235
2016-11-08 9:38:53 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 236
2016-11-08 9:38:53 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 255
